Наименование станции,Время открытия,Время закрытия на вход,Время закрытия на выход,"Первый поезд в сторону станции «Путиловская», по нечетным дням","Первый поезд в сторону станции «Путиловская», по четным дням","Первый поезд в сторону станции «Юго-Западная», по нечетным дням","Первый поезд в сторону станции «Юго-Западная», по четным дням",Последний поезд в сторону станции «Путиловская»,Последний поезд в сторону станции «Юго-Западная»,Примечание
Юго-Западная,5-32,0-02,0-30,5-42,5-42,5-52,5-52,0-08,0-18,-
Путиловская,5-35,0-05,0-25,5-46,5-46,5-49,5-49,0-11,0-15,-
